date,Brasília_df_0824,joacaba_sc_0827,balneario_camboriu_sc_0845,Curitiba_parana_0823
2022/03/04,0,0.0,0.0,0.0
2022/03/05,0,0.0,0.0,0.0
2022/03/06,0,0.0,0.0,0.0
2022/03/07,0,0.0,0.0,0.0
2022/03/08,0,0.0,0.0,0.0
2022/03/09,0,0.0,0.0,0.0
2022/03/10,0,0.0,0.0,0.0
2022/03/11,0,0.0,0.0,0.0
2022/03/12,0,0.0,0.0,0.0
2022/03/13,0,0.0,0.0,0.0
2022/03/14,0,0.0,0.0,0.0
2022/03/15,0,0.0,0.0,0.0
2022/03/16,0,0.0,0.0,0.0
2022/03/17,0,0.0,0.0,0.0
2022/03/18,0,0.0,0.0,0.0
2022/03/19,0,0.0,0.0,0.0
2022/03/20,0,0.0,0.0,0.0
2022/03/21,0,0.0,0.0,0.0
2022/03/22,0,0.0,0.0,0.0
2022/03/23,0,0.0,0.0,0.0
2022/03/24,0,0.0,0.0,0.0
2022/03/25,0,0.0,0.0,0.0
2022/03/26,0,0.0,0.0,0.0
2022/03/27,0,0.0,0.0,0.0
